file_stem,hardware_source,pair_type,role_a,role_b,image_a_path,image_a_sha256,image_b_path,image_b_sha256,original_size,model_input_size,layer4_1_cosine,avgpool_cosine,cosine_reconvergence,layer4_1_relative_l2,avgpool_relative_l2,relative_l2_reconvergence
arabic-131_03,iphone15pro,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/iphone15pro/arabic-131_03.jpg,215096643cf48f9a941da80292df6bc6bf5e6cfba24f765526351138f100c3d3,train/attack/digital_2/iphone15pro/arabic-131_03.jpg,b0c63da99e2300149c3d0dc63ed1188081fe144f3be7dda381e1c800ba66e52c,"(2783, 1762)","(404, 256)",0.9347735047340393,0.9830392599105835,0.04826575517654419,0.36719873547554016,0.18754930794239044,0.17964942753314972
arabic-131_03,scan,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/scan/arabic-131_03.jpg,7236a9d5a200bd9760d4fc99a72ba72d2150122d1a24105875ff61f5d0772792,train/bonafide/scan/arabic-131_03.jpg,1534f772688251e15dce3a30d6bdaa42db7f6dc093fd128c13dd5271734bb4d5,"(1998, 1247)","(410, 256)",0.9342702031135559,0.9839954376220703,0.049725234508514404,0.37166887521743774,0.19566026329994202,0.17600861191749573
arabic-131_03,scan,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/scan/arabic-131_03.jpg,f11917ef5a58f229aae950f904c38b3b02c72153a810a8324e8aacc376b619e0,train/bonafide/scan/arabic-131_03.jpg,1534f772688251e15dce3a30d6bdaa42db7f6dc093fd128c13dd5271734bb4d5,"(1998, 1247)","(410, 256)",0.9498211145401001,0.9869416356086731,0.037120521068573,0.31684401631355286,0.1639728844165802,0.15287113189697266
arabic-131_03,scan,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/scan/arabic-131_03.jpg,7236a9d5a200bd9760d4fc99a72ba72d2150122d1a24105875ff61f5d0772792,train/attack/digital_2/scan/arabic-131_03.jpg,f11917ef5a58f229aae950f904c38b3b02c72153a810a8324e8aacc376b619e0,"(1998, 1247)","(410, 256)",0.9275822043418884,0.9821665287017822,0.0545843243598938,0.3904399573802948,0.19574639201164246,0.19469356536865234
arabic-139_03,huawei,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/huawei/arabic-139_03.jpg,24487bbecef058e2eb265baa34d459ae19f5eb1ee0fef6325f2aa81b56544287,train/bonafide/huawei/arabic-139_03.jpg,18a678c1e4fbdc399f8559e4ad431c0625540104a9c60af04cb0320df5260711,"(3034, 1879)","(413, 256)",0.9449378848075867,0.9871112704277039,0.04217338562011719,0.33533576130867004,0.1657118797302246,0.16962388157844543
arabic-139_03,huawei,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/huawei/arabic-139_03.jpg,0957de4cbe7e30997749ef645efe9be15fac7dc861cabfca97c8f58679c51798,train/bonafide/huawei/arabic-139_03.jpg,18a678c1e4fbdc399f8559e4ad431c0625540104a9c60af04cb0320df5260711,"(3034, 1879)","(413, 256)",0.9652541875839233,0.9913368821144104,0.02608269453048706,0.2645356357097626,0.13162919878959656,0.13290643692016602
arabic-139_03,huawei,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/huawei/arabic-139_03.jpg,24487bbecef058e2eb265baa34d459ae19f5eb1ee0fef6325f2aa81b56544287,train/attack/digital_2/huawei/arabic-139_03.jpg,0957de4cbe7e30997749ef645efe9be15fac7dc861cabfca97c8f58679c51798,"(3034, 1879)","(413, 256)",0.9393527507781982,0.9853976964950562,0.04604494571685791,0.35525277256965637,0.17582395672798157,0.1794288158416748
arabic-139_03,iphone15pro,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/iphone15pro/arabic-139_03.jpg,6c40a95354b76ec9f0f2507f4271ee0282e024bda5ebb729607f637559406712,train/bonafide/iphone15pro/arabic-139_03.jpg,c996c2c6fc2c11b39b83fbe8d085fede4842ec24614018f9f63f07b396483720,"(2624, 1605)","(418, 256)",0.9545187950134277,0.9903269410133362,0.03580814599990845,0.3017309308052063,0.13909123837947845,0.16263969242572784
arabic-139_03,iphone15pro,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/iphone15pro/arabic-139_03.jpg,58f8daf1da12e77d8376b8afdf81a4d1dab09798260940c6044177e9d30bf0e5,train/bonafide/iphone15pro/arabic-139_03.jpg,c996c2c6fc2c11b39b83fbe8d085fede4842ec24614018f9f63f07b396483720,"(2624, 1605)","(418, 256)",0.9700092077255249,0.9926469326019287,0.02263772487640381,0.24606017768383026,0.12150263041257858,0.12455754727125168
arabic-139_03,iphone15pro,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/iphone15pro/arabic-139_03.jpg,6c40a95354b76ec9f0f2507f4271ee0282e024bda5ebb729607f637559406712,train/attack/digital_2/iphone15pro/arabic-139_03.jpg,58f8daf1da12e77d8376b8afdf81a4d1dab09798260940c6044177e9d30bf0e5,"(2624, 1605)","(418, 256)",0.9541224837303162,0.9897100329399109,0.03558754920959473,0.3046550452709198,0.14368145167827606,0.16097359359264374
arabic-139_03,scan,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/scan/arabic-139_03.jpg,1682b6762971508dff0fce7aa8e16cd54c705fed25386d8016a8bba07e823006,train/bonafide/scan/arabic-139_03.jpg,0a9e276ba21f26321fae8040231de74fd6ad96b361e1385a24f9803be2a97405,"(1999, 1247)","(410, 256)",0.948745608329773,0.9878055453300476,0.03905993700027466,0.3205485939979553,0.15633802115917206,0.16421057283878326
arabic-139_03,scan,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/scan/arabic-139_03.jpg,0bf66daf523a7c04377bb5d4886be5a2591af614c7b0e2b834408c35bc19c054,train/bonafide/scan/arabic-139_03.jpg,0a9e276ba21f26321fae8040231de74fd6ad96b361e1385a24f9803be2a97405,"(1999, 1247)","(410, 256)",0.9584245681762695,0.9884225130081177,0.029997944831848145,0.28895634412765503,0.15216854214668274,0.1367878019809723
arabic-139_03,scan,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/scan/arabic-139_03.jpg,1682b6762971508dff0fce7aa8e16cd54c705fed25386d8016a8bba07e823006,train/attack/digital_2/scan/arabic-139_03.jpg,0bf66daf523a7c04377bb5d4886be5a2591af614c7b0e2b834408c35bc19c054,"(1999, 1247)","(410, 256)",0.9264011383056641,0.9800550937652588,0.05365395545959473,0.38515812158584595,0.1998767852783203,0.18528133630752563
arabic-173_03,huawei,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/huawei/arabic-173_03.jpg,0765a1a7d9b92d7c9f78406c3f460aae89777f086374a075b12cf388cae34192,train/bonafide/huawei/arabic-173_03.jpg,992bd2fc694aed976daa7896463fc847e2cecb82c3290dc7b2ccec15becb552a,"(3208, 1986)","(413, 256)",0.9238137006759644,0.9801735281944275,0.056359827518463135,0.3925841748714447,0.20376011729240417,0.18882405757904053
arabic-173_03,huawei,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/huawei/arabic-173_03.jpg,4ca62cf91981d1e4defb21f8764bda9c6a7b6e4f8ba7b47645148091b1b8a9f4,train/bonafide/huawei/arabic-173_03.jpg,992bd2fc694aed976daa7896463fc847e2cecb82c3290dc7b2ccec15becb552a,"(3208, 1986)","(413, 256)",0.9462782144546509,0.9869912266731262,0.04071301221847534,0.32831183075904846,0.16184434294700623,0.16646748781204224
arabic-173_03,huawei,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/huawei/arabic-173_03.jpg,0765a1a7d9b92d7c9f78406c3f460aae89777f086374a075b12cf388cae34192,train/attack/digital_2/huawei/arabic-173_03.jpg,4ca62cf91981d1e4defb21f8764bda9c6a7b6e4f8ba7b47645148091b1b8a9f4,"(3208, 1986)","(413, 256)",0.937767744064331,0.986139178276062,0.04837143421173096,0.35357391834259033,0.1691776067018509,0.18439631164073944
arabic-173_03,iphone15pro,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/iphone15pro/arabic-173_03.jpg,284a5ab4a3b87b400fa94fea9ab00d5efff21479a1e9a0a50108a5c4c0ed95df,train/bonafide/iphone15pro/arabic-173_03.jpg,59711cb21c884bacf56a0cd4500d80c5a2b9d47c306d76d7a75218aa4fd588f6,"(2784, 1780)","(400, 256)",0.9240532517433167,0.9800965785980225,0.05604332685470581,0.3907549977302551,0.20282603800296783,0.1879289597272873
arabic-173_03,iphone15pro,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/iphone15pro/arabic-173_03.jpg,e268de0e68b5db7bc0c039b425c57e655b0bbe78ec161d6f42f299b0e4163924,train/bonafide/iphone15pro/arabic-173_03.jpg,59711cb21c884bacf56a0cd4500d80c5a2b9d47c306d76d7a75218aa4fd588f6,"(2784, 1780)","(400, 256)",0.9588273763656616,0.9887085556983948,0.029881179332733154,0.2874094247817993,0.15129747986793518,0.13611194491386414
arabic-173_03,iphone15pro,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/iphone15pro/arabic-173_03.jpg,284a5ab4a3b87b400fa94fea9ab00d5efff21479a1e9a0a50108a5c4c0ed95df,train/attack/digital_2/iphone15pro/arabic-173_03.jpg,e268de0e68b5db7bc0c039b425c57e655b0bbe78ec161d6f42f299b0e4163924,"(2784, 1780)","(400, 256)",0.9474201202392578,0.9879049062728882,0.04048478603363037,0.3245183229446411,0.1566903293132782,0.16782799363136292
arabic-173_03,scan,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/scan/arabic-173_03.jpg,8f2313d7aa8422337cd4d3456d8db1ee9b0892badf7524c440c5e640c920bb41,train/bonafide/scan/arabic-173_03.jpg,b3f6050e9a6a3bc1b6bcd05e7f50c5307b7cdc7ac9616c93b5000c9f33d8bdfd,"(2001, 1251)","(409, 256)",0.9310551285743713,0.9826299548149109,0.05157482624053955,0.3715856373310089,0.1881837248802185,0.1834019124507904
arabic-173_03,scan,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/scan/arabic-173_03.jpg,3a70429feef9e403506d67942652c80ed00588c72d97d28cce66c2467896c129,train/bonafide/scan/arabic-173_03.jpg,b3f6050e9a6a3bc1b6bcd05e7f50c5307b7cdc7ac9616c93b5000c9f33d8bdfd,"(2001, 1251)","(409, 256)",0.9755620956420898,0.9943947792053223,0.018832683563232422,0.22415484488010406,0.10954611748456955,0.11460872739553452
arabic-173_03,scan,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/scan/arabic-173_03.jpg,8f2313d7aa8422337cd4d3456d8db1ee9b0892badf7524c440c5e640c920bb41,train/attack/digital_2/scan/arabic-173_03.jpg,3a70429feef9e403506d67942652c80ed00588c72d97d28cce66c2467896c129,"(2001, 1251)","(409, 256)",0.9321631193161011,0.9833959341049194,0.05123281478881836,0.3690536618232727,0.18224196135997772,0.18681170046329498
arabic-NF-1003,huawei,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/huawei/arabic-NF-1003.jpg,af8c3b5699d5e96a55f238c22d3943defbf8bca410b33864e224a5d237e5bda5,train/bonafide/huawei/arabic-NF-1003.jpg,17df6bc73bc6495233ee89dd7004fa9f7af97a1eb57ad113b17125e7f5935506,"(3190, 1963)","(416, 256)",0.9194009304046631,0.977043867111206,0.05764293670654297,0.40237313508987427,0.21572443842887878,0.18664869666099548
