analysis_unit,group_type,group_value,stage,metric,n,mean,std,min,q25,median,q75,max
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,channel_diff_top1_share,8,0.03599857507894437,0.00045999725080888887,0.0354025661945343,0.03563601244240999,0.03604415307442348,0.036271120732029274,0.03672994549075762
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,channel_diff_top5_share,8,0.15674292109906673,0.0014829148222323554,0.15515280763308206,0.15538136785229048,0.15649169435103732,0.15782547245422998,0.15902453164259592
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,channel_diff_top10_share,8,0.2783607294162115,0.002254551859310698,0.27465372284253436,0.27689945449431735,0.2785498400529226,0.28016679733991623,0.28098568320274353
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,channel_diff_top32_share,8,0.6756984020272891,0.0037099541054700356,0.6679902871449789,0.6750095734993616,0.6757380266984303,0.678374653061231,0.6800490220387777
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,channel_diff_effective_channels,8,52.81515089670817,0.23997672803108944,52.521891276041664,52.683682123819985,52.747132619222,52.91630713144938,53.303323109944664
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,channel_diff_effective_fraction,8,0.8252367327610651,0.0037496363754857725,0.820654551188151,0.8231825331846873,0.8241739471753438,0.8268172989288965,0.8328644235928854
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.1,cosine_similarity,8,0.9905428191026052,0.0014478769962626746,0.9880697329839071,0.9898641258478165,0.9905862013498942,0.9913370758295059,0.9924244085947672
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.1,pearson_correlation,8,0.9820015802979469,0.0027632676052277384,0.9772448738416036,0.9807300120592117,0.9820583462715149,0.9835158487161001,0.9855703711509705
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.1,relative_l2_distance,8,0.1371209022278587,0.010515033125132063,0.12306092927853267,0.13147733484705287,0.13718024392922717,0.1423051543533802,0.15444007515907288
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.1,mean_absolute_difference,8,0.03142253674256305,0.0029626779065435337,0.027569139376282692,0.028973272070288658,0.03149114393939575,0.03296782526498039,0.03618632256984711
