analysis_unit,group_type,group_value,metric,n,mean,std,min,q25,median,q75,max
capture_pair,hardware_source,iphone15pro,avgpool_cosine,160,0.9905993398278952,0.008365306070566143,0.942990243434906,0.9881783425807953,0.9935464560985565,0.996010348200798,0.9986472129821777
capture_pair,hardware_source,iphone15pro,cosine_reconvergence,160,0.029627981036901473,0.019990167793902537,0.005905807018280029,0.015505433082580566,0.022671908140182495,0.03806908428668976,0.125687837600708
capture_pair,hardware_source,iphone15pro,layer4_1_relative_l2,160,0.2667220985516906,0.09057291529339581,0.12049441039562225,0.19979525730013847,0.24611597508192062,0.31923995167016983,0.568328857421875
capture_pair,hardware_source,iphone15pro,avgpool_relative_l2,160,0.12953990721143782,0.05305469474095978,0.05203033611178398,0.0896898228675127,0.11521190404891968,0.15756738185882568,0.3436335325241089
capture_pair,hardware_source,iphone15pro,relative_l2_reconvergence,160,0.13718219134025275,0.03943154126087716,0.06846407428383827,0.10819016024470329,0.13014543801546097,0.16077960282564163,0.301472932100296
capture_pair,hardware_source,scan,layer4_1_cosine,160,0.969581987336278,0.020870487099805785,0.8726255893707275,0.9616570472717285,0.9755912125110626,0.9844762831926346,0.9949601292610168
capture_pair,hardware_source,scan,avgpool_cosine,160,0.9931625470519065,0.005413591221093264,0.9668056964874268,0.9914703965187073,0.9947525858879089,0.9969823807477951,0.9992684721946716
capture_pair,hardware_source,scan,cosine_reconvergence,160,0.023580559715628623,0.015573374828177017,0.004308342933654785,0.012435674667358398,0.019109100103378296,0.02960297465324402,0.09418010711669922
capture_pair,hardware_source,scan,layer4_1_relative_l2,160,0.23643137444742024,0.07591610969271433,0.10040256381034851,0.17629612237215042,0.2220338135957718,0.2779960632324219,0.5113959908485413
capture_pair,hardware_source,scan,avgpool_relative_l2,160,0.11205815530847758,0.041336212527531724,0.03827706351876259,0.08022678829729557,0.10324146971106529,0.13303684443235397,0.2689683437347412
capture_pair,hardware_source,scan,relative_l2_reconvergence,160,0.12437321913894266,0.03588410606747182,0.06212550029158592,0.09599992074072361,0.11866231635212898,0.14427056163549423,0.24242764711380005
capture_pair,hardware_source,huawei,layer4_1_cosine,160,0.9671316921710968,0.022505758235391245,0.8529942035675049,0.9607669413089752,0.9742421507835388,0.9807321578264236,0.99417644739151
capture_pair,hardware_source,huawei,avgpool_cosine,160,0.992576515302062,0.006337111730414345,0.9533607959747314,0.9915152937173843,0.9945708811283112,0.9961130619049072,0.9988478422164917
capture_pair,hardware_source,huawei,cosine_reconvergence,160,0.025444823130965234,0.01633680679891758,0.004513204097747803,0.015271306037902832,0.020046085119247437,0.030546903610229492,0.10036659240722656
capture_pair,hardware_source,huawei,layer4_1_relative_l2,160,0.24623512560501695,0.07769800166036443,0.10798493772745132,0.19678981229662895,0.22731215506792068,0.2824869006872177,0.5476545691490173
capture_pair,hardware_source,huawei,avgpool_relative_l2,160,0.11646369867958128,0.04358534460683315,0.048083215951919556,0.08924171328544617,0.10621610283851624,0.13523982465267181,0.3098248541355133
capture_pair,hardware_source,huawei,relative_l2_reconvergence,160,0.12977142692543567,0.03562510197204787,0.05679306015372276,0.10687238909304142,0.12438740953803062,0.15102669037878513,0.24280154705047607
