file_stem,hardware_source,image_role,image_path,image_sha256,layer4_shape,shift_y,shift_x,layer4_original_vs_roll_cosine,layer4_original_vs_roll_relative_l2,avgpool_original_vs_roll_cosine,avgpool_original_vs_roll_relative_l2,model_avgpool_float32_max_abs_error,roll_avgpool_float32_max_abs_error,roll_avgpool_float64_max_abs_error
arabic-NF-1040,scan,digital_1,train/attack/digital_1/scan/arabic-NF-1040.jpg,510a485260ce19ee7434368c9a56a25a74307b3880b69ec84ccccf0d87290977,"(1, 512, 8, 13)",1,1,0.7531153559684753,0.7026872038841248,1.000000238418579,6.022166587626998e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1040,scan,digital_2,train/attack/digital_2/scan/arabic-NF-1040.jpg,9e98a2c9bd028add1bade2357245ff261b9d4cf3ec063833fd3418944a40c1d9,"(1, 512, 8, 13)",1,1,0.7535287141799927,0.7020986676216125,1.0,5.02294525972502e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1045,huawei,bonafide,train/bonafide/huawei/arabic-NF-1045.jpg,b404cfff62d720f871aeac84b212f9d93160c1aacf24b6df0f8bdc8da5ecaf7d,"(1, 512, 8, 13)",1,1,0.7412194013595581,0.7194170951843262,0.9999998807907104,5.582692352845697e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1045,huawei,digital_1,train/attack/digital_1/huawei/arabic-NF-1045.jpg,b9f997b2229bbe56a240764e0ac200e028c064967361fad5a67b699e5ebb51ed,"(1, 512, 8, 13)",1,1,0.7364668250083923,0.725993275642395,0.9999999403953552,5.405772185440583e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1045,huawei,digital_2,train/attack/digital_2/huawei/arabic-NF-1045.jpg,e39ef85e6d7be0760854b07e26bc8ef7902b861e63679732f03b3cdc6aff8b2e,"(1, 512, 8, 13)",1,1,0.7417271733283997,0.7187110781669617,0.9999999403953552,6.171936206555984e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1045,iphone15pro,bonafide,train/bonafide/iphone15pro/arabic-NF-1045.jpg,5bd195ea24ebfd35045609f48c7d0482237db0979e56b9dbb72aabbe0d5157df,"(1, 512, 8, 13)",1,1,0.7551351189613342,0.6998069286346436,1.0,4.78692889771537e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1045,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-NF-1045.jpg,b9742f7b0f88e2bcbea440c82dabdfbe6fcc681cabfd6f03faa2885339580ba5,"(1, 512, 8, 13)",1,1,0.7491468191146851,0.7083123326301575,1.0000001192092896,5.4599116339204556e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1045,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-NF-1045.jpg,aa854761e97b894bcdc86a3345ea24b225abca5989f446c820696a228f9a0b37,"(1, 512, 8, 13)",1,1,0.75422602891922,0.7011049389839172,0.9999998807907104,5.666420932470828e-08,0.0,3.5762786865234375e-07,0.0
arabic-NF-1045,scan,bonafide,train/bonafide/scan/arabic-NF-1045.jpg,dba4f924f4d20b7bdc8fbb0f9ad93e1a3b335902b1c503c0ebee6dc0073a34bb,"(1, 512, 8, 13)",1,1,0.7580784559249878,0.6955882906913757,1.0000001192092896,5.909558353778266e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1045,scan,digital_1,train/attack/digital_1/scan/arabic-NF-1045.jpg,440b1628191d67c5cea9c7e2a75404a74dab6814f872b15c3d468a3eac27f22a,"(1, 512, 8, 13)",1,1,0.7402899265289307,0.7207080125808716,0.9999998807907104,5.883438447540357e-08,0.0,4.76837158203125e-07,0.0
